"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","-----BEGIN CERTIFICATE-----\nMIIH+zCCBmOgAwIBAgIQXPHGDshBZmzMBJ0ZxfcjXTANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJHUjE3MDUGA1UECgwuSGVsbGVuaWMgQWNhZGVtaWMgYW5kIFJlc2VhcmNoIEluc3RpdHV0aW9ucyBDQTEYMBYGA1UEAwwPR0VBTlQgVExTIFJTQSAxMB4XDTI2MDcyODA3MDE0MVoXDTI3MDIxMjA3MDE0MFowgasxCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTEOMAwGA1UEBwwFUGFyaXMxSzBJBgNVBAoMQk1pbmlzdMOocmUgZGUgbOKAmcOJZHVjLiBOYXRpb25hbGUsIEVuc2VpZ25lbWVudCBTdXAuIGV0IFJlY2hlcmNoZTEmMCQGA1UEAwwdZWxpc2Euc2VydmljZS1jaXZpcXVlLmdvdXYuZnIwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQC1Bgf4/+OEAqaliI/sKhNUu95IwMNS8L9kuS7EtSDhn+gBzmETKLXXRKg10bytPztbg2o0oX0FusVjZATpsrYiicIDrS2Y8pQT3+upK47pqI8MIBuzSt4q20AsDbe/bEQG294wbdUbr3/tmp2HRRZ2Npjov0IigO9eiCkAUaIrN6phfsq218oBVz9RM/SOc1Adslx+0HQdpdlaolpmoS88wlK/uOkepEhDWet4y1M6nlP5w1gSr6gQNTp99Ndxj/3k1MKwjTHlq7/Va+kmGfPRx1RsVLLD7H3tvfYBRAPO42wSKpvXEmTAHZd9sKoLYIodRgKZiS8by9b0s9eDk6kx8i0lv8Khz8tzNDnOba5Li+4q/AtD5CCsG1ipgz9ByhMFZyK3PLUxoM5K6W/JH4B5ND+T7QBAYhMvEVqZk9gdMQqFKbQfmEjeoBMdDnjnFtrYf0ZGvuY6Jhg21Ps/GfFF1aw+AakXYn0hmN0CutcmtsRmG20csxM5jVnos5M0HEWRPdU4Qq81ofSBNLyK1vNHzvAxMk3yjydRcLkwLsqJVuE7moNkbSsCikWb/kKrubwy8US8uyt6gRavKXPSKfjPMJO66Mj6f6r8RCfR72l1OfsFWI9TgqtlgufQYLlRjv0bWeHWixwz7Zi1QmZjBXstAHzJN3MUnRk6N2kW8gY4vQIDAQABo4IC4zCCAt8wDAYDVR0TAQH/BAIwADAfBgNVHSMEGDAWgBSGAXI/jKlw4jEGUxbOAV9becg8OzBIBggrBgEFBQcBAQQ8MDowOAYIKwYBBQUHMAKGLGh0dHA6Ly9jcnQuaGFyaWNhLmdyL0hBUklDQS1HRUFOVC1UTFMtUjEuY2VyMCgGA1UdEQQhMB+CHWVsaXNhLnNlcnZpY2UtY2l2aXF1ZS5nb3V2LmZyMC0GA1UdIAQmMCQwCAYGZ4EMAQICMAgGBgQAj3oBBzAOBgwrBgEEAYHPEQEBAQIwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMD0GA1UdHwQ2MDQwMqAwoC6GLGh0dHA6Ly9jcmwuaGFyaWNhLmdyL0hBUklDQS1HRUFOVC1UTFMtUjEuY3JsMB0GA1UdDgQWBBRebc43BtmjG5FXt2CwGeKhqm7IEDAOBgNVHQ8BAf8EBAMCBaAwggF8BgorBgEEAdZ5AgQCBIIBbASCAWgBZgB1AGBMmq96f3dfAdQG/JINyJnrCxx9+MlSG/r6F3c7l4vJAAABn6eQphoAAAQDAEYwRAIgaCE3cDsYIPM7KQKj7uwd7SPngqqP1sdcfJ7euJLIBlsCIC698v3PV/42ekWsS2bmHzypyB16kNz1EPqXfkbde2wUAHUARqI5Z8YNtkaHxm89+ZmUdpOmphEghFfVVefj0KHZtkYAAAGfp5CmPgAABAMARjBEAiAKi+Rtf/Yt/6kShHGbQ4LJyf9M+1n81hMpHZtajk2BsAIgSmIGYJcYERsX7+D+bzRSoAPU/m9pvPxfT3VCGd6W+fsAdgBEwr0M6RQOZKXJSgGTClqhuzWXDgDuERaJaCocRNe1ZgAAAZ+nkKYJAAAEAwBHMEUCIF33XG1fCSalHpzE2VT/f5dBvnGb/0LU1AJ7F9mrvmjkAiEAo2o0UDrG4zy2rC6Tb3ruL4uy8nCHtBrUKWYtNQoO6k0wDQYJKoZIhvcNAQELBQADggGBADjlZd1hRwZZNOxAuU7efkORQZCwXciFF+uVY/j2EuDyjnnrC7SnDGJL9FMuTKyQ5A3NJ0hPHrAKbvKZmhYjoNiMgbI0CHAbblrlQ+mTXcEreuCqu0oTtocIqCHDDIoPXCo+MvrlBknXoC3N6pEkUQ4Z9Puvgl6HSPSKGyZiOG50SpZmnKNHAtY2atBheyV5gw17B7plpxEwf7ZBgOxu/jy4tp/L6hf+RY1CVlVo/z6PT+Ulch2FA7PRWKnMCGT5IhGIJQzFtourCXj29VGTyQCY2quMxLDC9nV0vFue5qfGwTTVuIU+Asxmjj5q7b6btu0qaHbwnQPzKWt25KxUgIWyMNnD+guhy0VrBeLyu2o5ZFPBJejDOwosTWulgL6pTfhpS4kYmYFtxqtyKUvRR/XXVXoaQD++XPODEJp9VekuiR5npFfHtV3W3ghggEWeLym2Skuh8MFcONkrPAzCXvvoTSOdd/VA5DeDVoAJR70NB0XNeF2Z/Lwk0arfcMWiwA==\n-----END CERTIFICATE-----","",""
"cert_commonName","elisa.service-civique.gouv.fr/217.109.233.83","443","OK","elisa.service-civique.gouv.fr","",""
"cert_commonName_wo_SNI","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","elisa.service-civique.gouv.fr","",""
"cert_subjectAltName","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","elisa.service-civique.gouv.fr","",""
"cert_trust","elisa.service-civique.gouv.fr/217.109.233.83","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","elisa.service-civique.gouv.fr/217.109.233.83","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","no","",""
"cert_expirationStatus","elisa.service-civique.gouv.fr/217.109.233.83","443","OK","166 >= 60 days","",""
"cert_notBefore","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","2026-07-28 07:01","",""
"cert_notAfter","elisa.service-civique.gouv.fr/217.109.233.83","443","OK","2027-02-12 07:01","",""
"cert_extlifeSpan","elisa.service-civique.gouv.fr/217.109.233.83","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","not present","",""
"cert_crlDistributionPoints","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","http://crl.harica.gr/HARICA-GEANT-TLS-R1.crl","",""
"cert_ocspURL","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","--","",""
"OCSP_stapling","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","not offered","",""
"cert_mustStapleExtension","elisa.service-civique.gouv.fr/217.109.233.83","443","INFO","--","",""
