"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.service-civique.gouv.fr/37.59.251.196","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCDCCA/CgAwIBAgISBveoHIPrtOkCAuDNZYwTklkNMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTMwHhcNMjYwMzI2MDAwMTI4WhcNMjYwNjI0MDAwMTI3WjAmMSQwIgYDVQQDExt3d3cuc2VydmljZS1jaXZpcXVlLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDTlSVRW3XSzZ1syGYwpS/t9q2P/NMcJ6vAhbjcmvkZiCf8iAM2DeMXIEIBnmunMSXeaj9uLIbRMvtAtnTMETT4OqP2Xk4Zhl89dq6AKQUokJVjau76morVkoFe6ZpLbqhsES9OdNrv8+0sGtgBiZ8+4i6F4/5Kj98Owo5CLTdaDXKvDPR3CJdffRkIwD6xCRyiM3OKZqqBkpYKMY/lXfYemTqOELu6pXNoarJhp5CzjcwZUfLbyWFVLqLaYPReRsEDKj4GOxjZZw0lxf26jy45k8AjwknzCAZFmGB9agQbyaOA0B/FYsFvz9jvy7zhLvU372pHIm6I9fdco/MiKC6LAgMBAAGjggIhMIICHTAOBgNVHQ8BAf8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUBYC/09fkr40OkokSpZjPLmV83+swHwYDVR0jBBgwFoAU56ufDywzoFPTXk94yLKEDjvWkjMwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEzLmkubGVuY3Iub3JnLzAmBgNVHREEHzAdght3d3cuc2VydmljZS1jaXZpcXVlLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3IxMy5jLmxlbmNyLm9yZy8xNC5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgBJnJtp3h187Pw23s2HZKa4W68Kh4AZ0VVS++nrKd34wwAAAZ0np8KJAAAEAwBHMEUCIQDkU9du5tgH5/ByZUHhJxK7ZezLCnMeFCth9k1bewfa5wIgJPHY6dyo9eZJQ1wjNR/5Ch1N5Siq0VjmO2/TlEz8tb8AdgAWgy2r8KklDw/wOqVF/8i/yCPQh0v2BCkn+OcfMxP1+gAAAZ0np8KfAAAEAwBHMEUCIBU0gozUuVLtDn0HemgXv2cz7+TN0MGi/jSwtvd4KuI3AiEArpw+2h4XAwSS77JWOxFVjlko6KFancQuNUwt3npRPHcwDQYJKoZIhvcNAQELBQADggEBAIPoYMJtvowy5I9m/ZdpUcx2sOdlcHsVGEZ8eWvwJVCGsxbrjEf01Yo8TIKNEMNJcBQpvEQ0gVdDpknCfSsU3diyDwkhFGyQzVbabc2wCMRHqxeuLpam6LTY15GQCYGDFgNtTBboDyljRagIVBV5NmPEMqzpz6qCuNcSEjpAeYaCuRVRv3+v9cGm2O0ePYlFGv6HPhQNRbJKztcWH0LZWDy+Tt7Px22hiDHzxmku1tkUrD510MhTlTWO1Hopc+rMnW/Fipv1Hq9D/FyA2T2E2PW4tUleEqhsAJiZjPluyVuN5kMuCAlRl6A4q3+6sey9DSGyhREJ7lwAiKcZf0bFQVs=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.service-civique.gouv.fr/37.59.251.196","443","OK","www.service-civique.gouv.fr","",""
"cert_commonName_wo_SNI","www.service-civique.gouv.fr/37.59.251.196","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.service-civique.gouv.fr/37.59.251.196","443","INFO","www.service-civique.gouv.fr","",""
"cert_trust","www.service-civique.gouv.fr/37.59.251.196","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.service-civique.gouv.fr/37.59.251.196","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.service-civique.gouv.fr/37.59.251.196","443","INFO","no","",""
"cert_expirationStatus","www.service-civique.gouv.fr/37.59.251.196","443","OK","65 >= 30 days","",""
"cert_notBefore","www.service-civique.gouv.fr/37.59.251.196","443","INFO","2026-03-26 00:01","",""
"cert_notAfter","www.service-civique.gouv.fr/37.59.251.196","443","OK","2026-06-24 00:01","",""
"cert_extlifeSpan","www.service-civique.gouv.fr/37.59.251.196","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not present","",""
"cert_crlDistributionPoints","www.service-civique.gouv.fr/37.59.251.196","443","INFO","http://r13.c.lencr.org/14.crl","",""
"cert_ocspURL","www.service-civique.gouv.fr/37.59.251.196","443","INFO","--","",""
"OCSP_stapling","www.service-civique.gouv.fr/37.59.251.196","443","INFO","not offered","",""
"cert_mustStapleExtension","www.service-civique.gouv.fr/37.59.251.196","443","INFO","--","",""
"DNS_CAArecord","www.service-civique.gouv.fr/37.59.251.196","443","LOW","--","",""
"certificate_transparency","www.service-civique.gouv.fr/37.59.251.196","443","OK","yes (certificate extension)","",""
