"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_numbers","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","1","",""
"cert_signatureAlgorithm","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","SHA256 with RSA","",""
"cert_keySize","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","04BBC58C7E01E731843C056B2EF7C927FC70","",""
"cert_fingerprintSHA1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","8418284E1859EFFA2EF24B820B35A1AE608552A6","",""
"cert_fingerprintSHA256","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","E3903ACDEE09A72C3D6A02389DC10E5705052E121DC2FA0B3295E9D78996D2A0","",""
"cert","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","-----BEGIN CERTIFICATE----- MIIEeTCCA2GgAwIBAgISBLvFjH4B5zGEPAVrLvfJJ/xwMA0GCSqGSIb3DQEBCwUA MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD EwJSMzAeFw0yMTA5MzAwNjE3MTNaFw0yMTEyMjkwNjE3MTJaMCkxJzAlBgNVBAMT HnBhc3Rlay5mYWJyaXF1ZS5zb2NpYWwuZ291di5mcjBZMBMGByqGSM49AgEGCCqG SM49AwEHA0IABIYz0/txSLJNa1RBuZEic8ZTAC2XG2+w1Jr6sQicXPyFyDlZQpe/ 2koslkKanqozimPwM5LnyWCpN9Ae31Yz9JGjggJbMIICVzAOBgNVHQ8BAf8EBAMC B4AwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAw HQYDVR0OBBYEFE18OsXB59ABxe5lHSQkiRNkV1Z7MB8GA1UdIwQYMBaAFBQusxe3 WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0 cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5j ci5vcmcvMCkGA1UdEQQiMCCCHnBhc3Rlay5mYWJyaXF1ZS5zb2NpYWwuZ291di5m cjBMBgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUF BwIBFhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQYGCisGAQQB1nkCBAIE gfcEgfQA8gB3AESUZS6w7s6vxEAH2Kj+KMDa5oK+2MsxtT/TM5a1toGoAAABfDWQ elsAAAQDAEgwRgIhANKyCDdT6X/yLraaW7nKxagmIy/KBszFbY8IyTtIkI6vAiEA lPE4fokxiFW0d5PRQKC5PPtBXSczD8ghEKPiF46Ziq4AdwB9PvL4j/+IVWgkwsDK nlKJeSvFDngJfy5ql2iZfiLw1wAAAXw1kHp0AAAEAwBIMEYCIQCMAh3bjRCUEsUn 5KcTlzlGPn1O9iiNKzWBiM2T1bA5mgIhAMMwq6gK77TPoeUY5XQNUnky+rXFWOmc wZQVZUF6oCxdMA0GCSqGSIb3DQEBCwUAA4IBAQATE97MqqpPFh9DHPprLc/5u3oH C4i2dmL7oYcTTNjQ6lditfG3k5GVfx47ddewU5HqTdsH927Eog9v4Um9zl6fLTNf 5MYEI0L3d8r0A9M32w+S02eT+2x3Q+zmT8+Lt/uJ0FQwObVg4+41Uw0rlNDWs80I buORh0fX51ICYX8PYoiwQfsCB/4rqhFCTd9QYKKQAyumO3llNBtLqbEzkYoSz9l7 6RNGjNE+yv2FiXg9ViAMA83lPmEv8BisJEub1BK+kAJuhRyVUoCgKBD0yfFHfQSK rwDMCMCW1Ke5zMHp0xQbGIMvDYUm5+6pZXLtwcKSQOM/vwqs7sqjbBO2OhNK -----END CERTIFICATE-----","",""
"cert_commonName","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","pastek.fabrique.social.gouv.fr","",""
"cert_commonName_wo_SNI","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","TRAEFIK DEFAULT CERT","",""
"cert_subjectAltName","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","pastek.fabrique.social.gouv.fr","",""
"cert_trust","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","passed.","",""
"cert_certificatePolicies_EV","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","no","",""
"cert_expirationStatus","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","80 >= 30 days","",""
